Águeda;335.27;46349
Albergaria-a-Velha;158.830;25252
Anadia;216.649;29150
Arouca;329.11;22359
Aveiro;197.58;80978
Castelo de Paiva;115.01;16733
Espinho;21.06;31786
Estarreja;108.17;26997
Santa Maria da Feira;213.45;139313
Ílhavo;73.48;38598
Mealhada;110.66;20428
Murtosa;73.09;10585
Oliveira de Azeméis;161.10;69127
Oliveira do Bairro;87.32;23028
Ovar;147.70;55398
São João da Madeira;7.94;22162
Sever do Vouga;129.88;12356
Vagos;164.92;22851
Vale de Cambra;235.89;22864
Aljustrel;458.47;8874
Almodôvar;777.88;6713
Alvito;264.85;2282
Barrancos;168.42;1435
Beja;1106.44;33401
Castro Verde;569.44;6873
Cuba;172.09;4374
Ferreira do Alentejo;648.25;7686
Mértola;1292.87;6205
Moura;958.46;13259
Odemira;1720.60;29523
Ourique;663.31;4840
Serpa;1105.63;13764
Vidigueira;316.61;5176
Amares;81.95;18591
Barcelos;378.9;120391
Braga;183.4;193349
Cabeceiras de Basto;241.82;16064
Celorico de Basto;181.07;20098
Esposende;95.41;33947
Fafe;219.08;48502
Guimarães;240.95;156852
Póvoa de Lanhoso;134.65;21787
Terras de Bouro;277.46;6359
Vieira do Minho;218.05;12997
Vila Nova de Famalicão;201.59;133590
Vila Verde;228.67;46474
Vizela;24.70;23736
Alfândega da Fé;321.95;5104
Bragança;1173.57;34589
Carrazeda de Ansiães;279.24;5494
Freixo de Espada à Cinta;244.14;3215
Macedo de Cavaleiros;699.14;15776
Miranda do Douro;487.18;6466
Mirandela;658.96;23850
Mogadouro;760.65;9542
Torre de Moncorvo;531.56;8572
Vila Flor;265.81;6697
Vimioso;481.59;4669
Vinhais;694.76;9066
Belmonte;118.76;6204
Castelo Branco;1438.19;52291
Covilhã;555.60;46457
Fundão;700.20;26509
Idanha-a-Nova;1416.34;8340
Oleiros;464.67;4900
Penamacor;563.71;4764
Proença-a-Nova;385.39;7147
Sertã;453.13;14748
Vila de Rei;191.55;3276
Vila Velha de Ródão;329.91;3287
Arganil;332.84;11596
Cantanhede;390.88;34218
Coimbra;319.4;140796
Condeixa-a-Nova;138.68;17078
Figueira da Foz;379.05;62125
Góis;263.30;4260
Lousã;138.40;17604
Mira;124.03;12465
Miranda do Corvo;126.38;13098
Montemor-o-Velho;228.96;26171
Oliveira do Hospital;234.52;19421
Pampilhosa da Serra;396.46;4083
Penacova;216.73;13119
Penela;132.49;5983
Soure;263.91;19245
Tábua;199.79;12071
Vila Nova de Poiares;84.45;7281
Alandroal;542.68;5007
Arraiolos;683.75;6619
Borba;145.19;6428
Estremoz;513.80;12683
Évora;1307.08;53591
Montemor-o-Novo;1232.97;15804
Mora;443.95;4135
Mourão;278.63;2351
Portel;601.01;5747
Redondo;369.51;6300
Reguengos de Monsaraz;464.00;9871
Vendas Novas;222.39;11260
Viana do Alentejo;393.67;5319
Vila Viçosa;194.86;7388
Albufeira;140.66;44158
Alcoutim;575.36;2521
Aljezur;323.50;6046
Castro Marim;300.84;6434
Faro;202.57;67650
Lagoa;45.57;14416
Lagos;212.99;33514
Loulé;763.67;72373
Monchique;395.30;5465
Olhão;130.86;44639
Portimão;182.06;59867
São Brás de Alportel;153.37;11266
Silves;680.06;37813
Tavira;606.97;27536
Vila do Bispo;179.06;5258
Vila Real de Santo António;61.25;18828
Aguiar da Beira;206.77;5231
Almeida;517.99;5882
Celorico da Beira;247.22;7693
Figueira de Castelo Rodrigo;508.58;6260
Fornos de Algodres;131.45;4989
Gouveia;300.61;14046
Guarda;712.1;40126
Manteigas;121.98;3430
Mêda;286.05;5202
Pinhel;484.52;9627
Sabugal;822.70;12544
Seia;435.69;24702
Trancoso;361.52;9878
Vila Nova de Foz Côa;398.15;6304
Alcobaça;408.14;54981
Alvaiázere;160.48;7287
Ansião;176.09;13128
Batalha;103.42;15805
Bombarral;91.29;13193
Caldas da Rainha;255.69;50898
Castanheira de Pêra;66.78;2667
Figueiró dos Vinhos;173.44;5296
Leiria;565.09;128616
Marinha Grande;187.25;39032
Nazaré;82.43;14889
Óbidos;141.55;11772
Pedrógão Grande;128.75;3392
Peniche;77.55;27753
Pombal;626.00;51178
Porto de Mós;261.83;23203
Alenquer;304.22;43267
Arruda dos Vinhos;77.96;13391
Azambuja;262.66;21442
Cadaval;174.89;14228
Cascais;97.40;214134
Lisboa;100.05;544851
Loures;167.24;201646
Lourinhã;147.17;25735
Mafra;291.66;86523
Oeiras;45.88;171802
Sintra;319.23;385954
Sobral de Monte Agraço;52.10;10156
Torres Vedras;407.15;83130
Vila Franca de Xira;318.19;136886
Amadora;23.79;171719
Odivelas;26.54;148156
Alter do Chão;362.07;3044
Arronches;314.65;2789
Avis;605.97;3812
Campo Maior;247.20;8042
Castelo de Vide;264.91;3116
Crato;398.07;3225
Elvas;631.29;20753
Fronteira;248.60;2858
Gavião;294.59;3394
Marvão;154.90;3021
Monforte;420.25;2992
Nisa;575.68;5951
Ponte de Sor;839.71;15249
Portalegre;447.14;22368
Sousel;279.32;4360
Amarante;301.33;56264
Baião;174.53;20522
Felgueiras;115.74;58065
Gondomar;131.86;168027
Lousada;96.08;47387
Maia;82.99;135678
Marco de Canaveses;201.89;53450
Matosinhos;62.42;175478
Paços de Ferreira;70.99;56340
Paredes;156.76;86854
Penafiel;212.24;72265
Porto;41.42;231962
Póvoa de Varzim;82.21;63408
Santo Tirso;136.60;71530
Valongo;75.12;93858
Vila do Conde;149.03;79533
Vila Nova de Gaia;168.46;304149
Trofa;72.02;38999
Abrantes;714.69;34351
Alcanena;137.33;20604
Almeirim;222.12;22016
Alpiarça;95.36;6976
Benavente;521.38;29716
Cartaxo;158.17;23187
Chamusca;746.01;8530
Constância;80.37;4056
Coruche;1115.72;17356
Entroncamento;13.73;20206
Ferreira do Zêzere;190.38;8619
Golegã;84.32;5400
Mação;399.98;7338
Rio Maior;272.76;21005
Salvaterra de Magos;243.93;22613
Santarém;552.54;58671
Sardoal;92.15;3939
Tomar;351.2;36444
Torres Novas;270;34149
Vila Nova da Barquinha;49.53;7322
Ourém;416.68;44576
Alcácer do Sal;1499.87;11113
Alcochete;128.36;19145
Almada;70.21;177268
Barreiro;36.39;78359
Grândola;825.94;13823
Moita;55.26;66262
Montijo;348.62;55689
Palmela;465.12;68856
Santiago do Cacém;1059.77;27773
Seixal;95.50;166525
Sesimbra;195.47;52465
Setúbal;230.33;123519
Sines;132.42;14214
Arcos de Valdevez;447.60;22847
Caminha;136.52;16684
Melgaço;238.25;7776
Monção;211.31;19230
Paredes de Coura;138.19;9198
Ponte da Barca;182.11;12061
Ponte de Lima;320.25;43498
Valença;117.13;13634
Viana do Castelo;319.02;85784
Vila Nova de Cerveira;108.47;9253
Alijó;297.60;10492
Boticas;321.96;5750
Chaves;591.23;41243
Mesão Frio;26.65;4433
Mondim de Basto;172.08;6 410
Montalegre;805.46;10537
Murça;189.37;5245
Peso da Régua;94.86;14553
Ribeira de Pena;217.46;5887
Sabrosa;156.92;6361
Santa Marta de Penaguião;69.28;7356
Valpaços;548.74;16882
Vila Pouca de Aguiar;437.07;11813
Vila Real;378.80;49574
Armamar;117.24;6297
Carregal do Sal;116.89;9835
Castro Daire;379.04;15339
Cinfães;239.29;20427
Lamego;165.42;26691
Mangualde;219.26;19880
Moimenta da Beira;200.00;10201
Mortágua;251.18;9607
Nelas;125.71;13124
Oliveira de Frades;147.45;9510
