dicofre;designacao;codigo;lat;long;area;pop;site;district;parish;nuts3;nuts2
101;Águeda;AGD;40.566667;-8.45;335.27;46349;https://www.cm-agueda.pt;Aveiro;11;Região de Aveiro;Centro
102;Albergaria-a-Velha;ALB;40.7;-8.483333;158.830;25252;http://www.cm-albergaria.pt;Aveiro;6;Região de Aveiro;Centro
103;Anadia;AND;40.442222;-8.436111;216.649;29150;http://www.cm-anadia.pt/;Aveiro;10;Região de Aveiro;Centro
104;Arouca;ARC;40.933333;-8.25;329.11;22359;http://www.cm-arouca.pt;Aveiro;16;Área Metropolitana do Porto;Norte
105;Aveiro;AVR;40.633333;-8.65;197.58;80978;http://www.cm-aveiro.pt;Aveiro;10;Região de Aveiro;Centro
106;Castelo de Paiva;CPV;41.046389;-8.269722;115.01;16733;http://www.cm-castelo-paiva.pt/;Aveiro;6;Tâmega e Sousa;Norte
107;Espinho;ESP;41.008333;-8.641667;21.06;31786;http://www.cm-espinho.pt/;Aveiro;4;Área Metropolitana do Porto;Norte
108;Estarreja;ETR;40.75;-8.566667;108.17;26997;http://www.cm-estarreja.pt/;Aveiro;5;Região de Aveiro;Centro
109;Santa Maria da Feira;VFR;40.933333;-8.533333;213.45;139313;https://www.cm-feira.pt/;Aveiro;21;Área Metropolitana do Porto;Norte
110;Ílhavo;ILH;40.6;-8.666667;73.48;38598;http://www.cm-ilhavo.pt;Aveiro;4;Região de Aveiro;Centro
111;Mealhada;MLD;40.383333;-8.45;110.66;20428;http://www.cm-mealhada.pt;Aveiro;6;Região de Coimbra;Centro
112;Murtosa;MRS;40.7375;-8.638056;73.09;10585;http://www.cm-murtosa.pt/;Aveiro;4;Região de Aveiro;Centro
113;Oliveira de Azeméis;OAZ;40.833333;-8.483333;161.10;69127;http://www.cm-oaz.pt/;Aveiro;12;Área Metropolitana do Porto;Norte
114;Oliveira do Bairro;OBR;40.516667;-8.5;87.32;23028;http://www.cm-olb.pt/;Aveiro;4;Região de Aveiro;Centro
115;Ovar;OVR;40.859167;-8.625;147.70;55398;http://www.cm-ovar.pt/;Aveiro;5;Região de Aveiro;Centro
116;São João da Madeira;SJM;40.9;-8.5;7.94;22162;http://www.cm-sjm.pt/;Aveiro;1;Área Metropolitana do Porto;Norte
117;Sever do Vouga;SVV;40.733333;-8.369167;129.88;12356;http://www.cm-sever.pt/;Aveiro;7;Região de Aveiro;Centro
